part_number,section,occurrences,csv_lines,status
50CEV68M8X10.5,components,2,119 & 743,identical
50PZJ82M8X9,components,2,120 & 685,identical
50PHV68M8X10.5,components,2,121 & 730,identical
50PJV82M8X10.5,components,2,122 & 669,identical
35PZE150M8X9,components,2,123 & 684,identical
25PZF220M8X9,components,2,124 & 716,identical
35PEV47M6.3X6.1,components,2,125 & 645,identical
25PFV56M6.3X6.1,components,2,126 & 670,identical
35PFV47M6.3X6.1,components,2,127 & 626,identical
25CZE330M10X9,components,2,128 & 778,identical
63PFV10M6.3X6.1,components,2,129 & 688,identical
50CZE100M10X9,components,2,130 & 686,identical
50PFV22M6.3X6.1,components,2,131 & 616,identical
80PZF39M10X9,components,2,132 & 675,identical
25PZL150M8X9,components,2,133 & 763,identical
35PZL100M8X9,components,2,134 & 689,identical
35CZF270M10X9,components,2,135 & 671,identical
50PZS100M10X9,components,2,136 & 779,identical
35CEV270M10X10.5,components,2,137 & 676,identical
25PEV220M8X10.5,components,2,138 & 649,identical
25CEV330M10X10.5,components,2,139 & 731,identical
50CEV100M10X10.5,components,2,140 & 639,identical
35PZS270M10X9,components,2,141 & 662,identical
63PFV33M8X10.5,components,2,142 & 721,identical
35PJV180MVB8X10.5,components,2,143 & 753,identical
35CFV270M10X10.5,components,2,144 & 680,identical
50CFV100M10X10.5,components,2,145 & 702,identical
25PFV220M8X10.5,components,2,146 & 692,identical
25PZJ470M10X9,components,2,147 & 697,identical
50PHV100M10X10.5,components,2,148 & 672,identical
35PZE270M10X9,components,2,149 & 646,identical
50PZJ150M10X9,components,2,150 & 746,identical
63PEV22M6.3X8,components,2,151 & 673,identical
35PEV68M6.3X8,components,2,152 & 717,identical
63PHV56M10X10.5,components,2,153 & 772,identical
35PSV270M10X10.5,components,2,154 & 635,identical
63PSV56M10X10.5,components,2,155 & 711,identical
35PZF270M10X9,components,2,156 & 634,identical
25PZF330M10X9,components,2,157 & 773,identical
25PEV330M10X10.5,components,2,158 & 732,identical
25PFV330M10X10.5,components,2,159 & 664,identical
35PEV270M10X10.5,components,2,160 & 617,identical
63PEV56M10X10.5,components,2,161 & 727,identical
35PZK390M10X9,components,2,162 & 674,identical
25PJV560M10X12.5,components,2,163 & 631,identical
50PJV180M10X12.5,components,2,164 & 656,identical
35PHV150M8X10.5,components,2,166 & 637,identical
35PHV68M6.3X8,components,2,167 & 718,identical
25PZH560M10X15,components,2,168 & 690,identical
25PZJ820M10X15,components,2,169 & 666,identical
50PZH180M10X15,components,2,170 & 750,identical
35PJV330M10X10.5,components,2,171 & 625,identical
25PJV470M10X10.5,components,2,172 & 651,identical
25PHV560M10X16.5,components,2,173 & 643,identical
25PJV820M10X16.5,components,2,174 & 683,identical
35PHV470M10X16.5,components,2,175 & 648,identical
63PZH150M10X20,components,2,176 & 644,identical
35PHV47M6.3X6.1,components,2,177 & 658,identical
35PJV56M6.3X6.1,components,2,178 & 800,identical
63CZE33M8X9,components,2,179 & 780,identical
80PZF22M8X9,components,2,180 & 668,identical
63CZF33M8X9,components,2,181 & 793,identical
50CZF68M8X9,components,2,182 & 794,identical
35CZF150M8X9,components,2,183 & 801,identical
25CZF220M8X9,components,2,184 & 767,identical
35CEV150M8X10.5,components,2,185 & 707,identical
50PZH68M8X9,components,2,186 & 677,identical
63PZH33M8X9,components,2,187 & 714,identical
63PZS33M8X9,components,2,188 & 802,identical
35CFV150M8X10.5,components,2,190 & 760,identical
50CFV68M8X10.5,components,2,191 & 774,identical
25CFV220M8X10.5,components,2,192 & 785,identical
63PHV33M8X10.5,components,2,193 & 808,identical
63PSV33M8X10.5,components,2,194 & 814,identical
50PSV68M8X10.5,components,2,195 & 809,identical
63PZE33M8X9,components,2,196 & 781,identical
63PZF33M8X9,components,2,197 & 768,identical
35PZF150M8X9,components,2,198 & 678,identical
25PLV150M8X10.5,components,2,199 & 764,identical
35PLV100M8X10.5,components,2,200 & 761,identical
63PLV33M8X10.5,components,2,201 & 824,identical
50PEV22M6.3X6.1,components,2,202 & 652,identical
63CZE56M10X9,components,2,203 & 803,identical
63PEV10M6.3X6.1,components,2,204 & 700,identical
63PZL33M8X9,components,2,205 & 724,identical
50PZL68M8X9,components,2,206 & 825,identical
25PZH330M10X9,components,2,207 & 722,identical
25CZF330M10X9,components,2,208 & 826,identical
63CZF56M10X9,components,2,209 & 788,identical
50CZF100M10X9,components,2,210 & 786,identical
63PZS56M10X9,components,2,211 & 787,identical
63CEV56M10X10.5,components,2,212 & 782,identical
63PZH56M10X9,components,2,213 & 789,identical
25PZS330M10X9,components,2,214 & 810,identical
63PEV33M8X10.5,components,2,215 & 754,identical
25CFV330M10X10.5,components,2,216 & 751,identical
50PFV68M8X10.5,components,2,217 & 708,identical
35PFV68M6.3X8,components,2,218 & 647,identical
50PEV33M6.3X8,components,2,219 & 665,identical
63PZJ82M10X9,components,2,220 & 783,identical
25PSV330M10X10.5,components,2,222 & 804,identical
50PSV100M10X10.5,components,2,223 & 762,identical
63PLV56M10X10.5,components,2,224 & 747,identical
35PLV150M10X10.5,components,2,225 & 765,identical
50PLV100M10X10.5,components,2,226 & 805,identical
25PLV270M10X10.5,components,2,227 & 815,identical
50PZH150M10X11,components,2,228 & 795,identical
63PZH68M10X11,components,2,229 & 775,identical
25PHV56M6.3X6.1,components,2,230 & 816,identical
50PZL100M10X9,components,2,231 & 744,identical
25PZL270M10X9,components,2,232 & 755,identical
63PZL56M10X9,components,2,233 & 790,identical
35PZL150M10X9,components,2,234 & 706,identical
25PZK560M10X9,components,2,235 & 748,identical
25PHV100M6.3X8,components,2,236 & 739,identical
50PHV150M10X12.5,components,2,237 & 733,identical
25PKV560M10X10.5,components,2,238 & 693,identical
35PJV390M10X12.5,components,2,239 & 703,identical
35PJV180M8X10.5,components,2,240 & 712,identical
25PHV220M8X10.5,components,2,241 & 694,identical
25PHV330M10X10.5,components,2,242 & 734,identical
63PHV100M10X16.5,components,2,243 & 691,identical
50PHV180M10X16.5,components,2,244 & 756,identical
25CHV56M6.3X6.1,components,2,246 & 806,identical
USBLC6-2SC6,components,3,2239 & 2374 & 2397,"DIFFER in datasheet_url, manufacturer"
OR-PU-001-70A,hardware,2,6321 & 6389,identical
OR-PU-002-70A,hardware,2,6322 & 6390,identical
OR-PU-003-70A,hardware,2,6323 & 6391,identical
OR-PU-004-70A,hardware,2,6324 & 6392,identical
OR-PU-005-70A,hardware,2,6325 & 6393,identical
OR-PU-006-70A,hardware,2,6326 & 6394,identical
OR-PU-007-70A,hardware,2,6327 & 6395,identical
OR-PU-008-70A,hardware,2,6328 & 6396,identical
OR-PU-009-70A,hardware,2,6329 & 6397,identical
OR-PU-010-70A,hardware,2,6330 & 6398,identical
OR-PU-011-70A,hardware,2,6331 & 6399,identical
OR-PU-012-70A,hardware,2,6332 & 6400,identical
OR-PU-013-70A,hardware,2,6333 & 6401,identical
OR-PU-014-70A,hardware,2,6334 & 6402,identical
OR-PU-015-70A,hardware,2,6335 & 6403,identical
OR-PU-016-70A,hardware,2,6336 & 6404,identical
OR-PU-017-70A,hardware,2,6337 & 6405,identical
OR-PU-018-70A,hardware,2,6338 & 6406,identical
OR-PU-019-70A,hardware,2,6339 & 6407,identical
OR-PU-020-70A,hardware,2,6340 & 6408,identical
OR-PU-021-70A,hardware,2,6341 & 6409,identical
OR-PU-022-70A,hardware,2,6342 & 6410,identical
OR-PU-023-70A,hardware,2,6343 & 6411,identical
OR-PU-024-70A,hardware,2,6344 & 6412,identical
OR-PU-025-70A,hardware,2,6345 & 6413,identical
OR-PU-026-70A,hardware,2,6346 & 6414,identical
OR-PU-027-70A,hardware,2,6347 & 6415,identical
OR-PU-028-70A,hardware,2,6348 & 6416,identical
OR-PU-029-70A,hardware,2,6349 & 6417,identical
OR-PU-030-70A,hardware,2,6350 & 6418,identical
OR-PU-031-70A,hardware,2,6351 & 6419,identical
OR-PU-032-70A,hardware,2,6352 & 6420,identical
OR-PU-033-70A,hardware,2,6353 & 6421,identical
OR-PU-034-70A,hardware,2,6354 & 6422,identical
OR-PU-035-70A,hardware,2,6355 & 6423,identical
OR-PU-036-70A,hardware,2,6356 & 6424,identical
OR-PU-037-70A,hardware,2,6357 & 6425,identical
OR-PU-038-70A,hardware,2,6358 & 6426,identical
OR-PU-039-70A,hardware,2,6359 & 6427,identical
OR-PU-040-70A,hardware,2,6360 & 6428,identical
OR-PU-041-70A,hardware,2,6361 & 6429,identical
OR-PU-042-70A,hardware,2,6362 & 6430,identical
OR-PU-043-70A,hardware,2,6363 & 6431,identical
OR-PU-044-70A,hardware,2,6364 & 6432,identical
OR-PU-045-70A,hardware,2,6365 & 6433,identical
OR-PU-046-70A,hardware,2,6366 & 6434,identical
OR-PU-047-70A,hardware,2,6367 & 6435,identical
OR-PU-048-70A,hardware,2,6368 & 6436,identical
OR-PU-049-70A,hardware,2,6369 & 6437,identical
OR-PU-050-70A,hardware,2,6370 & 6438,identical
OR-PU-102-70A,hardware,2,6371 & 6439,identical
OR-PU-103-70A,hardware,2,6372 & 6440,identical
OR-PU-104-70A,hardware,2,6373 & 6441,identical
OR-PU-105-70A,hardware,2,6374 & 6442,identical
OR-PU-106-70A,hardware,2,6375 & 6443,identical
OR-PU-107-70A,hardware,2,6376 & 6444,identical
OR-PU-108-70A,hardware,2,6377 & 6445,identical
OR-PU-109-70A,hardware,2,6378 & 6446,identical
OR-PU-110-70A,hardware,2,6379 & 6447,identical
OR-PU-111-70A,hardware,2,6380 & 6448,identical
OR-PU-112-70A,hardware,2,6381 & 6449,identical
OR-PU-113-70A,hardware,2,6382 & 6450,identical
OR-PU-114-70A,hardware,2,6383 & 6451,identical
OR-PU-115-70A,hardware,2,6384 & 6452,identical
OR-PU-116-70A,hardware,2,6385 & 6453,identical
OR-PU-117-70A,hardware,2,6386 & 6454,identical
OR-PU-118-70A,hardware,2,6387 & 6455,identical
OR-PU-119-70A,hardware,2,6388 & 6456,identical
OR-FS-001-70A-MC,hardware,2,6526 & 6601,identical
OR-FS-002-70A-MC,hardware,2,6527 & 6602,identical
OR-FS-003-70A-MC,hardware,2,6528 & 6603,identical
OR-FS-004-70A-MC,hardware,2,6529 & 6604,identical
OR-FS-005-70A-MC,hardware,2,6530 & 6605,identical
OR-FS-006-70A-MC,hardware,2,6531 & 6606,identical
OR-FS-007-70A-MC,hardware,2,6532 & 6607,identical
OR-FS-008-70A-MC,hardware,2,6533 & 6608,identical
OR-FS-009-70A-MC,hardware,2,6534 & 6609,identical
OR-FS-010-70A-MC,hardware,2,6535 & 6610,identical
OR-FS-011-70A-MC,hardware,2,6536 & 6611,identical
OR-FS-012-70A-MC,hardware,2,6537 & 6612,identical
OR-FS-013-70A-MC,hardware,2,6538 & 6613,identical
OR-FS-014-70A-MC,hardware,2,6539 & 6614,identical
OR-FS-015-70A-MC,hardware,2,6540 & 6615,identical
OR-FS-016-70A-MC,hardware,2,6541 & 6616,identical
OR-FS-017-70A-MC,hardware,2,6542 & 6617,identical
OR-FS-018-70A-MC,hardware,2,6543 & 6618,identical
OR-FS-019-70A-MC,hardware,2,6544 & 6619,identical
OR-FS-020-70A-MC,hardware,2,6545 & 6620,identical
OR-FS-021-70A-MC,hardware,2,6546 & 6621,identical
OR-FS-022-70A-MC,hardware,2,6547 & 6622,identical
OR-FS-023-70A-MC,hardware,2,6548 & 6623,identical
OR-FS-024-70A-MC,hardware,2,6549 & 6624,identical
OR-FS-025-70A-MC,hardware,2,6550 & 6625,identical
OR-FS-026-70A-MC,hardware,2,6551 & 6626,identical
OR-FS-027-70A-MC,hardware,2,6552 & 6627,identical
OR-FS-028-70A-MC,hardware,2,6553 & 6628,identical
OR-FS-029-70A-MC,hardware,2,6554 & 6629,identical
OR-FS-030-70A-MC,hardware,2,6555 & 6630,identical
OR-FS-031-70A-MC,hardware,2,6556 & 6631,identical
OR-FS-032-70A-MC,hardware,2,6557 & 6632,identical
OR-FS-033-70A-MC,hardware,2,6558 & 6633,identical
OR-FS-034-70A-MC,hardware,2,6559 & 6634,identical
OR-FS-035-70A-MC,hardware,2,6560 & 6635,identical
OR-FS-036-70A-MC,hardware,2,6561 & 6636,identical
OR-FS-037-70A-MC,hardware,2,6562 & 6637,identical
OR-FS-038-70A-MC,hardware,2,6563 & 6638,identical
OR-FS-039-70A-MC,hardware,2,6564 & 6639,identical
OR-FS-040-70A-MC,hardware,2,6565 & 6640,identical
OR-FS-041-70A-MC,hardware,2,6566 & 6641,identical
OR-FS-042-70A-MC,hardware,2,6567 & 6642,identical
OR-FS-043-70A-MC,hardware,2,6568 & 6643,identical
OR-FS-044-70A-MC,hardware,2,6569 & 6644,identical
OR-FS-045-70A-MC,hardware,2,6570 & 6645,identical
OR-FS-046-70A-MC,hardware,2,6571 & 6646,identical
OR-FS-047-70A-MC,hardware,2,6572 & 6647,identical
OR-FS-048-70A-MC,hardware,2,6573 & 6648,identical
OR-FS-049-70A-MC,hardware,2,6574 & 6649,identical
OR-FS-050-70A-MC,hardware,2,6575 & 6650,identical
OR-FS-105-70A-MC,hardware,2,6576 & 6651,identical
OR-FS-106-70A-MC,hardware,2,6577 & 6652,identical
OR-FS-107-70A-MC,hardware,2,6578 & 6653,identical
OR-FS-108-70A-MC,hardware,2,6579 & 6654,identical
OR-FS-109-70A-MC,hardware,2,6580 & 6655,identical
OR-FS-110-70A-MC,hardware,2,6581 & 6656,identical
OR-FS-111-70A-MC,hardware,2,6582 & 6657,identical
OR-FS-112-70A-MC,hardware,2,6583 & 6658,identical
OR-FS-113-70A-MC,hardware,2,6584 & 6659,identical
OR-FS-114-70A-MC,hardware,2,6585 & 6660,identical
OR-FS-115-70A-MC,hardware,2,6586 & 6661,identical
OR-FS-116-70A-MC,hardware,2,6587 & 6662,identical
OR-FS-117-70A-MC,hardware,2,6588 & 6663,identical
OR-FS-118-70A-MC,hardware,2,6589 & 6664,identical
OR-FS-119-70A-MC,hardware,2,6590 & 6665,identical
OR-FS-120-70A-MC,hardware,2,6591 & 6666,identical
OR-FS-121-70A-MC,hardware,2,6592 & 6667,identical
OR-FS-122-70A-MC,hardware,2,6593 & 6668,identical
OR-FS-123-70A-MC,hardware,2,6594 & 6669,identical
OR-FS-124-70A-MC,hardware,2,6595 & 6670,identical
OR-FS-125-70A-MC,hardware,2,6596 & 6671,identical
OR-FS-126-70A-MC,hardware,2,6597 & 6672,identical
OR-FS-127-70A-MC,hardware,2,6598 & 6673,identical
OR-FS-128-70A-MC,hardware,2,6599 & 6674,identical
OR-FS-129-70A-MC,hardware,2,6600 & 6675,identical
CS-302-0.75-0.25-0.21,hardware,2,7391 & 7416,"DIFFER in category, name, specs"
CS-302-1-0.48-0.37,hardware,2,7397 & 7427,identical
CS-302-1.25-0.25-0.198,hardware,2,7403 & 7431,identical
TS-SS-0.105-0.012-3.25-RH-90D,hardware,2,7583 & 7652,DIFFER in specs
TS-SS-0.16-0.017-2.25-RH-90D,hardware,2,7584 & 7653,identical
TS-SS-0.178-0.018-4.25-RH-90D,hardware,2,7585 & 7654,DIFFER in specs
TS-SS-0.234-0.018-3.25-RH-90D,hardware,2,7586 & 7655,DIFFER in specs
TS-SS-0.235-0.025-2.25-RH-90D,hardware,2,7587 & 7656,DIFFER in specs
TS-SS-0.281-0.03-2.25-RH-90D,hardware,2,7588 & 7657,DIFFER in specs
TS-SS-0.288-0.032-2.25-RH-90D,hardware,2,7589 & 7658,identical
TS-SS-0.309-0.04-3.25-RH-90D,hardware,2,7590 & 7659,identical
TS-SS-0.315-0.035-2.25-RH-90D,hardware,2,7591 & 7660,identical
TS-SS-0.357-0.045-3.25-RH-90D,hardware,2,7592 & 7661,identical
TS-SS-0.373-0.028-3.25-RH-90D,hardware,2,7593 & 7662,identical
TS-SS-0.375-0.048-3.25-RH-90D,hardware,2,7594 & 7663,identical
TS-SS-0.386-0.038-4.25-RH-90D,hardware,2,7595 & 7664,identical
TS-SS-0.408-0.051-2.25-RH-90D,hardware,2,7596 & 7665,identical
TS-SS-0.453-0.045-4.25-RH-90D,hardware,2,7597 & 7666,identical
TS-SS-0.499-0.059-4.25-RH-270D,hardware,2,7735 & 7736,DIFFER in specs
