current_part_number,proposed_part_number,confidence,reason,name,spec_frequency,url
TSX-3225 24.0000MF15X-AC6,TSX-3225,LOW,name's part number and spec frequency disagree - verify manually,Epson TSX-3225 16.0000MF18X-AC0 16MHz 18pF 3225 SMD Crystal,16MHz,https://songglow.com/components/crystals/TSX-3225-24.0000MF15X-AC6
TSX-3225 16.0000MF18X-AC0,TSX-3225,LOW,name's part number and spec frequency disagree - verify manually,Epson TSX-3225 24.0000MF15X-AC0 24MHz 15pF 3225 SMD Crystal,24MHz,https://songglow.com/components/crystals/TSX-3225-16.0000MF18X-AC0
TSX-3225 24.0000MF15X-AC0,TSX-3225,LOW,name's part number and spec frequency disagree - verify manually,Epson TSX-3225 25.0000MF18X-G0 25MHz 18pF 3225 SMD Crystal,25MHz,https://songglow.com/components/crystals/TSX-3225-24.0000MF15X-AC0
TSX-3225 25.0000MF18X-G0,TSX-3225,LOW,name's part number and spec frequency disagree - verify manually,Epson TSX-3225 26.0000MF10Z-B6 26MHz 10pF 3225 SMD Crystal,26MHz,https://songglow.com/components/crystals/TSX-3225-25.0000MF18X-G0
HCM4916000000ABJT,HCM4910000000ABJT,LOW,name's part number and spec frequency disagree - verify manually,Citizen HCM4910000000ABJT 10MHz 12pF HC-49S SMD Crystal,10MHz,https://songglow.com/components/crystals/HCM4916000000ABJT
ABM8G-24.000MHZ-18-D2Y-T,HCM494000000ABJT,LOW,name's part number and spec frequency disagree - verify manually,Citizen HCM494000000ABJT 4MHz 12pF HC-49S SMD Crystal,4MHz,https://songglow.com/components/crystals/ABM8G-24.000MHZ-18-D2Y-T
CS01188-27.12M,LFXTAL055299,LOW,name's part number and spec frequency disagree - verify manually,NDK LFXTAL055299 24MHz 12pF 3225 SMD Crystal,24MHz,https://songglow.com/components/crystals/CS01188-27.12M
LFXTAL055299,CS01188-27.12M,LOW,name's part number and spec frequency disagree - verify manually,CSR (Qualcomm) CS01188-27.12M 27.12MHz 10pF 3225 SMD Crystal,27.12MHz,https://songglow.com/components/crystals/LFXTAL055299
ABM8-16.000MHZ-B2-T,CS11337-27.12M,LOW,name's part number and spec frequency disagree - verify manually,CSR (Qualcomm) CS11337-27.12M 27.12MHz 10pF 3225 SMD Crystal,27.12MHz,https://songglow.com/components/crystals/ABM8-16.000MHZ-B2-T
ECS-80-12-33-JGN-TR,ECS-.327-12.5-34R-C-TR,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. ECS-.327-12.5-34R-C-TR 32.768kHz 12.5pF 3215 SMD Crystal,32.768kHz,https://songglow.com/components/crystals/ECS-80-12-33-JGN-TR
ECS-.327-12.5-34R-C-TR,ECS-80-18-33-JGN-TR,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. ECS-80-18-33-JGN-TR 8MHz 18pF 3225 SMD Crystal,8MHz,https://songglow.com/components/crystals/ECS-.327-12.5-34R-C-TR
FL2400022,FL2500316Z,LOW,name's part number and spec frequency disagree - verify manually,Diode FL2500316Z 25MHz 16pF 3225 SMD Crystal,25MHz,https://songglow.com/components/crystals/FL2400022
FL2500316Z,FL2500133,LOW,name's part number and spec frequency disagree - verify manually,Diode FL2500133 25MHz 12pF 3225 SMD Crystal,25MHz,https://songglow.com/components/crystals/FL2500316Z
"Q 0,032768-JTX310-12,5-20-T1-LF","0,032768-JTX310-12,5-20-T1-LF",LOW,name's part number and spec frequency disagree - verify manually,"Jauch Quartz 0,032768-JTX310-12,5-20-T1-LF 32.768kHz 12.5pF 3215 SMD Crystal",32.768kHz,https://songglow.com/components/crystals/Q-0-032768-JTX310-12-5-20-T1-LF
ECS-240-8-37B-CKY-TR,ECS-320-8-37B2-CTN-TR,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. ECS-320-8-37B2-CTN-TR 32MHz 8pF 2016 SMD Crystal,32MHz,https://songglow.com/components/crystals/ECS-240-8-37B-CKY-TR
ATS080BSM-1E,ATS080BSM-1,LOW,name's part number and spec frequency disagree - verify manually,CTS ATS080BSM-1 8MHz 20pF HC-49S SMD Crystal,8MHz,https://songglow.com/components/crystals/ATS080BSM-1E
LFXTAL003000,FA-128,LOW,name's part number and spec frequency disagree - verify manually,Jauch Quartz Epson FA-128 32.0000MF10Z-AJ0 32MHz 10pF 2016 SMD Crystal,32MHz,https://songglow.com/components/crystals/LFXTAL003000
FA-128 32.0000MF20X-K5,ECS-.327-9-34B-TR,LOW,name's part number and spec frequency disagree - verify manually,Epson ECS-.327-9-34B-TR 32.768kHz 9pF 3215 SMD Crystal,32.768kHz,https://songglow.com/components/crystals/FA-128-32.0000MF20X-K5
FA-128 32.0000MF10Z-AJ5,FA-128,LOW,name's part number and spec frequency disagree - verify manually,Epson FA-128 32.0000MF20X-K5 32MHz 20pF 2016 SMD Crystal,32MHz,https://songglow.com/components/crystals/FA-128-32.0000MF10Z-AJ5
ECS-.327-9-34B-TR,CM13032768DZFT,LOW,name's part number and spec frequency disagree - verify manually,Citizen CM13032768DZFT 32.768kHz 12.5pF 3215 SMD Crystal,32.768kHz,https://songglow.com/components/crystals/ECS-.327-9-34B-TR
HCM4912000000ABJT,HCM498000000ABJT,LOW,name's part number and spec frequency disagree - verify manually,Citizen HCM498000000ABJT 8MHz 12pF HC-49S SMD Crystal,8MHz,https://songglow.com/components/crystals/HCM4912000000ABJT
HCM4925000000ABJT,HCM497372800ABJT,LOW,name's part number and spec frequency disagree - verify manually,Citizen HCM497372800ABJT 7.3728MHz 12pF HC-49S SMD Crystal,7.3728MHz,https://songglow.com/components/crystals/HCM4925000000ABJT
HCM497372800ABJT,HCM4920000000ABJT,LOW,name's part number and spec frequency disagree - verify manually,Citizen HCM4920000000ABJT 20MHz 12pF HC-49S SMD Crystal,20MHz,https://songglow.com/components/crystals/HCM497372800ABJT
ECS-.327-12.5-34B-C-TR,ECS-80-20-5G3XDS-TR,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. ECS-80-20-5G3XDS-TR 8MHz 20pF HC-49US SMD Crystal,8MHz,https://songglow.com/components/crystals/ECS-.327-12.5-34B-C-TR
ECS-80-20-5G3XDS-TR,ECS-384-CDX-1983,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. ECS-384-CDX-1983 38.4MHz 7pF 2016 SMD Crystal,38.4MHz,https://songglow.com/components/crystals/ECS-80-20-5G3XDS-TR
CM315D32768DZFT,CM315D32768DZCT,LOW,name's part number and spec frequency disagree - verify manually,Citizen CM315D32768DZCT 32.768kHz 12.5pF 3215 SMD Crystal,32.768kHz,https://songglow.com/components/crystals/CM315D32768DZFT
ECS-320-8-37B2-CTN-TR,ECS-320-10-37B-CKY-TR,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. ECS-320-10-37B-CKY-TR 32MHz 10pF 2016 SMD Crystal,32MHz,https://songglow.com/components/crystals/ECS-320-8-37B2-CTN-TR
SG-210STF 50.0000ML0,50.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,EPSON XTAL OSC XO 50.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/SG-210STF-50.0000ML0
SG-210STF 24.0000ML0,24.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,EPSON XTAL OSC XO 24.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/SG-210STF-24.0000ML0
SG-210STF 12.2880ML0,12.2880MHZ,LOW,name's part number and spec frequency disagree - verify manually,EPSON XTAL OSC XO 12.2880MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/SG-210STF-12.2880ML0
SG-210STF 25.0000ML0,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,EPSON XTAL OSC XO 25.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/SG-210STF-25.0000ML0
"O 25,0-JO32-B-1V3-1-T1-LF",25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Jauch Quartz XTAL OSC XO 25.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/O-25-0-JO32-B-1V3-1-T1-LF
ECS-2333-160-BN-TR,16.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 16.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2333-160-BN-TR
ECS-2333-500-BN-TR,50.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 50.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2333-500-BN-TR
ASDDV-25.000MHZ-LC-T,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC OSC XO 25.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASDDV-25.000MHZ-LC-T
ASDDV-50.000MHZ-LR-T,50.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC OSC XO 50.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASDDV-50.000MHZ-LR-T
ASE-1.8432MHZ-L-C-T,1.8432MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 1.8432MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-1.8432MHZ-L-C-T
ECS-2033-240-BN,24.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 24.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2033-240-BN
ASE3-27.000MHZ-K-T,27.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 27.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE3-27.000MHZ-K-T
ECS-2033-500-BN,50.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 50.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2033-500-BN
ECS-2333-250-BN-TR,25.000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. OSC XO 25.000MHZ 3.3V CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2333-250-BN-TR
ECS-327MVATX-1-CN-TR,32.768KHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 32.768KHZ SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-327MVATX-1-CN-TR
ECS-3963-240-BN-TR,24.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 24.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3963-240-BN-TR
ECS-2018-240-BN,24.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 24.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2018-240-BN
ECS-2033-120-BN,12.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 12.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2033-120-BN
ECS-327MVATX-3-CN-TR,32.768KHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 32.768KHZ SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-327MVATX-3-CN-TR
ECS-327MVATX-3-CN-TR3,32.7680KHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 32.7680KHZ SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-327MVATX-3-CN-TR3
ECS-327MVATX-2-CN-TR3,32.7680KHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 32.7680KHZ SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-327MVATX-2-CN-TR3
ECS-3225MV-080-BN-TR,8.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 8.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MV-080-BN-TR
ECS-3225MV-160-CN-TR,16.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 16.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MV-160-CN-TR
ECS-327MVATX-2-CN-TR,32.7680KHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 32.7680KHZ SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-327MVATX-2-CN-TR
ECS-3225MV-250-CN-TR,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 25.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MV-250-CN-TR
ECS-3225MV-240-BN-TR,24.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 24.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MV-240-BN-TR
ECS-3225MV-120-BN-TR,12.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 12.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MV-120-BN-TR
ECS-3225MV-250-BN-TR,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 25.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MV-250-BN-TR
ECS-3225MV-160-BN-TR,16.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 16.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MV-160-BN-TR
ECS-3225MV-250-CN-TR3,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 25.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MV-250-CN-TR3
ECS-3225MV-500-CN-TR,50.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 50.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-3225MV-500-CN-TR
ECS-2520MV-160-CN-TR,16.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. OSC XO 16.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MV-160-CN-TR
KC2016Z25.0000C1KX00,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,KYOCERA AVX XTAL OSC XO 25.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/KC2016Z25.0000C1KX00
ECS-2520MV-333.3-BN-TR,33.3333MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 33.3333MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MV-333.3-BN-TR
ECS-2520MV-250-BN-TR,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 25.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MV-250-BN-TR
ECS-2520MV-240-BN-TR,24.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 24.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MV-240-BN-TR
ECS-2520MV-250-CN-TR,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 25.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MV-250-CN-TR
ECS-2520MV-080-CN-TR,8.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. OSC XO 8.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MV-080-CN-TR
ECS-2520MV-480-CN-TR,48.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 48.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MV-480-CN-TR
ASV-12.000MHZ-EJ-T,12.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 12.0000MHZ HCMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASV-12.000MHZ-EJ-T
ECS-2520MV-500-BN-TR,50.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 50.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MV-500-BN-TR
ECS-2033-250-BN,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 25.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2033-250-BN
FK2500067,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Diodes Incorporated XTAL OSC XO 25.0000MHZ LVCMOS,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/FK2500067
ECS-2033-080-BN,8.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 8.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2033-080-BN
636L3I025M00000,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 25.0000MHZ HCMOS,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/636L3I025M00000
ECS-2033-040-BN,4.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 4.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2033-040-BN
KC3225K25.0000C1GE00,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,KYOCERA AVX XTAL OSC XO 25.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/KC3225K25.0000C1GE00
CB3-3I-16M000000,16.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 16.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3-3I-16M000000
ECS-2520MVQ-240-BP-TR,24.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 24.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MVQ-240-BP-TR
KC3225K50.0000C1GE00,50.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,KYOCERA AVX XTAL OSC XO 50.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/KC3225K50.0000C1GE00
ASE-25.000MHZ-L-C-T,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 25.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-25.000MHZ-L-C-T
CB3LV-3C-50M000000,50.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 50.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3C-50M000000
ASE-50.000MHZ-L-C-T,50.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 50.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-50.000MHZ-L-C-T
KC2016Z27.0000C15XXK,"OSCILLATOR,2.0X1.6X0.8MM",LOW,name's part number and spec frequency disagree - verify manually,"KYOCERA AVX CLOCK OSCILLATOR,2.0X1.6X0.8MM S",,https://songglow.com/components/crystals-oscillators-resonators-oscillators/KC2016Z27.0000C15XXK
CB3-3C-8M000000,8.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 8.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3-3C-8M000000
CB3LV-3C-25M000000,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 25.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3C-25M000000
ASE-8.000MHZ-L-C-T,8.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 8.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-8.000MHZ-L-C-T
ASE-48.000MHZ-L-C-T,48.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 48.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-48.000MHZ-L-C-T
ECS-2520MVQ-080-CN-TR,8.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 8.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MVQ-080-CN-TR
ASE-25.000MHZ-L-R-T,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 25.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-25.000MHZ-L-R-T
ECS-2520MVLC-081.92-BN-TR,8.1920MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 8.1920MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MVLC-081.92-BN-TR
CB3LV-3I-25M000000,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 25.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3I-25M000000
ASE-24.576MHZ-L-C-T,24.5760MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 24.5760MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-24.576MHZ-L-C-T
ECS-2520MVQ-250-BP-TR,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,ECS Inc. XTAL OSC XO 25.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ECS-2520MVQ-250-BP-TR
ASE-24.000MHZ-L-C-T,24.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Abracon LLC XTAL OSC XO 24.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/ASE-24.000MHZ-L-C-T
CB3-3I-40M000000,40.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 40.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3-3I-40M000000
CB3LV-3C-20M000000,20.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 20.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3LV-3C-20M000000
CB3-3C-40M000000,40.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,CTS-Frequency Controls XTAL OSC XO 40.0000MHZ HCMOS TTL,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/CB3-3C-40M000000
FKSSD1025,25.0000MHZ,LOW,name's part number and spec frequency disagree - verify manually,Diodes Incorporated XTAL OSC XO 25.0000MHZ CMOS SMD,,https://songglow.com/components/crystals-oscillators-resonators-oscillators/FKSSD1025
